"Hey, are you ready for the English presentation tomorrow?",0
"Yeah, I think so. I practiced a lot.",0
Me too. I'm still a bit nervous though.,1
"Don't worry, you'll do great. You're good at speaking.",0
"Thanks, that's very kind of you to say.",3
No problem. You're always nice to me.,4
Really? I didn't know you noticed.,3
Of course I noticed. You're very smart and funny.,4
"Wow, thank you. You're making me blush.",3
You're welcome. You're very cute when you blush.,5
"Hey, what are you doing here? This is my spot.",2
Your spot? Since when?,2
Since forever. I always sit here during lunch break.,2
"Well, too bad. I got here first.",2
That's not fair. You can't just take my spot.,2
Watch me. I can do whatever I want.,2
"No, you can't. You have to move.",2
"No, I don't. You have to leave.",2
No way. This is my spot and you know it.,2
Fine. Then we'll share it.,6
"Hey, do you want to go to the movies with me tonight?",4
"Sure, that sounds fun. What movie do you want to see?",0
"I don't know, maybe something romantic?",4
Romantic? Are you trying to ask me out?,3
Maybe. Is that a problem?,4
"No, not at all. I like you too.",5
Really? That's great. I'm so happy.,5
"Me too. So, what time do you want to meet?",0
How about 7 pm? I can pick you up if you want.,4
"Okay, sounds good. I'll see you then.",0
"Hi, I'm your new roommate. Nice to meet you.",0
"Hi, I'm sorry but I think there's been a mistake.",6
A mistake? What do you mean?,6
"Well, I requested a single room, not a shared one.",6
"Oh, really? That's weird. I requested a shared room.",6
"So, what do we do now?",6
I don't know. Maybe we should talk to the manager.,6
"Yeah, maybe. But what if they don't have any other rooms available?",6
Then I guess we'll have to make the best of it.,6
Or the worst of it.,7
"Hey, did you hear the news?",0
What news?,6
The news about the zombie apocalypse.,1
The what?,6
The zombie apocalypse. It's happening right now.,1
Are you kidding me?,6
"No, I'm serious. Look outside the window.",1
Oh my god. You're right. There are zombies everywhere.,1
I know. It's terrifying.,1
What do we do? How do we survive?,1
"Hey, I'm sorry to hear about your breakup.",8
"Thanks, it's okay. I'm over it.",7
Really? You don't sound very convincing.,8
"Well, maybe I'm not. It still hurts, you know.",3
I know. I've been there too.,8
Really? How did you cope?,6
"Well, I did a lot of things. I talked to my friends, I listened to music, I exercised, I read books...",8
Did that help?,6
"Yeah, it did. It helped me to distract myself and to heal.",8
That's good. Maybe I should try that too.,6
Do you want me to help you? I can be your friend.,8
Really? That's very nice of you.,3
Of course. You're not alone in this.,8
Thank you. You're very kind.,3
You're welcome. You're very brave.,8
"Hey, I'm really angry with you.",2
Why? What did I do?,6
You know what you did. You cheated on me.,2
"What? No, I didn't. Who told you that?",6
Don't play dumb with me. I saw the messages on your phone.,2
What messages? Let me see.,6
"No, you don't get to see. You already know what they say.",2
"No, I don't. I swear, I never cheated on you.",6
Stop lying to me. It's over. We're done.,2
"No, please. Don't do this. I love you.",5
"So, do you want to talk about what happened?",8
Not really. It's too painful.,3
I understand. But sometimes it helps to let it out.,8
I don't know. I feel like I don't have anything to say.,7
That's okay. You don't have to say anything. I'm here to listen.,8
Thank you. You're a good listener.,3
You're welcome. You're a good talker.,8
Am I? I don't feel like it.,3
You are. You have a lot of interesting things to say.,8
Thank you. You're very sweet.,3
You're welcome. You're very cute.,4
Really? You think so?,3
"Yeah, I do. You have a beautiful smile.",4
Thank you. You're making me blush.,3
You're welcome. You're very attractive when you blush.,5
"Hey, do you want to go to the movies with me tonight?",4
"Sure, that sounds fun. What movie do you want to see?",0
"I don't know, maybe something romantic?",4
Romantic? Are you trying to ask me out?,3
Maybe. Is that a problem?,4
"No, not at all. I like you too.",5
Really? That's great. I'm so happy.,5
"Me too. So, what time do you want to meet?",0
How about 7 pm? I can pick you up if you want.,4
"Okay, sounds good. I'll see you then.",0
"Hey, I'm here. Where are you?",4
I'm outside the theater. I see you.,0
"Wow, you look amazing.",4
Thank you. You look handsome.,3
Thank you. You're very sweet.,4
You're welcome. You're very charming.,3
"So, what movie did you choose?",0
"Well, I thought we could watch a comedy. Is that okay?",4
"Yeah, that's fine. I love comedies.",0
Me too. They always make me laugh.,0
Great. Let's go then.,4
"Okay, let's go.",0
That was a funny movie.,0
"Yeah, it was hilarious.",0
I especially liked the part where...,0
"Oh, me too. That was so funny.",0
You have a great sense of humor.,4
Thank you. You have a great taste in movies.,3
Thank you. You have a great smile.,5
You're welcome. You have a great kiss.,5
"Hi, I'm your new roommate. Nice to meet you.",0
"Hi, I'm sorry but I think there's been a mistake.",6
A mistake? What do you mean?,6
"Well, I requested a single room, not a shared one.",6
"Oh, really? That's weird. I requested a shared room.",6
"So, what do we do now?",6
I don't know. Maybe we should talk to the manager.,6
"Yeah, maybe. But what if they don't have any other rooms available?",6
Then I guess we'll have to make the best of it.,6
Or the worst of it.,7
"Hey, don't be so pessimistic. Maybe it won't be so bad.",0
Maybe. But I value my privacy and space.,7
I understand. But I'm sure we can get along well.,0
How do you know that? We barely know each other.,7
"Well, let's get to know each other then. What's your name?",0
My name is Alex. What's yours?,7
"My name is Sam. Nice to meet you, Alex.",0
"Nice to meet you too, Sam.",7
"So, what are you studying?",0
I'm studying computer science. What about you?,7
I'm studying psychology. That's cool.,0
Thanks. It's interesting.,7
"Yeah, I bet. Do you have any hobbies?",0
Not really. I just like to read and play games.,7
Me too. What kind of books and games do you like?,0
I like fantasy books and RPG games. You?,7
I like mystery books and puzzle games. We have similar tastes.,0
"Yeah, we do. Maybe we're not so different after all.",7
Maybe not. Maybe we can be friends.,0
Maybe we can. Maybe even more than friends.,4
"Hey, do you want to go to the haunted house with me?",4
"Uh, I don't know. I'm kind of scared of ghosts.",1
"Come on, don't be a chicken. It'll be fun.",4
Fun? How is being scared fun?,6
It's a thrill. It makes you feel alive.,4
Or dead.,1
"Don't worry, it's not real. It's just actors and props.",4
Are you sure?,6
"Yeah, I'm sure. Trust me.",4
"Okay, fine. I'll go with you. But don't leave me alone.",1
"Hey, did you hear the noise?",1
What noise?,6
The noise from the basement.,1
"No, I didn't hear anything.",6
"Shh, listen. There it is again.",1
I still don't hear anything.,6
How can you not hear that? It sounds like someone is banging on the door.,1
Maybe it's just the wind.,6
The wind? In the basement?,6
"Yeah, maybe. Or maybe it's a rat.",6
A rat? That's even worse.,1
"Well, do you want to go check it out?",6
"No, do you?",1
"No, not really.",6
Then let's just ignore it and hope it goes away.,1
"Hey, I'm really sorry about what I said yesterday.",3
What did you say yesterday?,6
You don't remember?,3
"No, I don't. Why? What did you say?",6
"Well, I kind of confessed my feelings for you.",3
You did? How come I don't remember that?,6
Because you were drunk.,3
I was drunk? When?,6
At the party. Don't you remember anything?,3
"No, not really. I only remember having a few drinks and then waking up with a headache.",6
"Oh. Well, that explains it.",3
"So, what did you say exactly?",6
I said that I liked you more than a friend and that I wanted to be with you.,3
Wow. And what did I say?,6
You said that you liked me too and that you wanted to kiss me.,3
I did? Did we kiss?,6
"No, we didn't. You passed out before we could.",3
Oh. That's a shame.,6
Is it? Do you really like me too or was it just the alcohol talking?,3
I don't know. Maybe both.,6
"Hey, can I talk to you for a minute?",4
"Uh, sure. What is it?",6
"Well, there's something I've been meaning to tell you for a long time.",4
What is it?,6
I really like you. A lot.,4
You do?,6
"Yes, I do. You're smart, funny, kind, beautiful... You're everything I ever wanted.",4
